epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.8239,0,0.0023,0,0,0,0,0,0,0.00944,0,0.00032963,0.00032963,0.00032963
2,120.57,0,0.00106,0,0,0,0,0,0,2.09095,0,0.000653587,0.000653587,0.000653587
3,178.08,0,0,0,0,0,0,0,0,0.8141,0,0.000968115,0.000968115,0.000968115
4,234.238,0,0,0,0,0,0,0,0,0.00031,0,0.000957571,0.000957571,0.000957571
5,290.015,0,0,0,0,0,0,0,0,0.00014,0,0.000943429,0.000943429,0.000943429
6,342.098,0,0,0,0,0,0,0,0,0.00165,0,0.000929286,0.000929286,0.000929286
7,395.222,0,0,0,0,0,0,0,0,0,0,0.000915143,0.000915143,0.000915143
8,454.184,0,0,0,0,0,0,0,0,0,0,0.000901,0.000901,0.000901
9,507.071,0,0,0,0,0,0,0,0,0,0,0.000886857,0.000886857,0.000886857
10,561.631,0,0,0,0,0,0,0,0,0.00014,0,0.000872714,0.000872714,0.000872714
11,615.564,0,0,0,0,0,0,0,0,2e-05,0,0.000858571,0.000858571,0.000858571
12,671.475,0,0,0,0,0,0,0,0,0.00673,0,0.000844429,0.000844429,0.000844429
13,724.142,0,0,0,0,0,0,0,0,0.00012,0,0.000830286,0.000830286,0.000830286
14,776.966,0,0,0,0,0,0,0,0,0,0,0.000816143,0.000816143,0.000816143
15,833.174,0,0,0,0,0,0,0,0,0,0,0.000802,0.000802,0.000802
16,890.573,0,0,0,0,0,0,0,0,0,0,0.000787857,0.000787857,0.000787857
17,948.243,0,0,0,0,0,0,0,0,0,0,0.000773714,0.000773714,0.000773714
18,1004.81,0,0,0,0,0,0,0,0,0,0,0.000759571,0.000759571,0.000759571
19,1059.7,0,0,0,0,0,0,0,0,0,0,0.000745429,0.000745429,0.000745429
20,1114.04,0,0,0,0,0,0,0,0,0,0,0.000731286,0.000731286,0.000731286
21,1167.47,0,0,0,0,0,0,0,0,0,0,0.000717143,0.000717143,0.000717143
22,1223.66,0,0,0,0,0,0,0,0,0,0,0.000703,0.000703,0.000703
23,1285.46,0,0,0,0,0,0,0,0,0,0,0.000688857,0.000688857,0.000688857
24,1354.31,0,0,0,0,0,0,0,0,0,0,0.000674714,0.000674714,0.000674714
25,1437.2,0,0,0,0,0,0,0,0,0,0,0.000660571,0.000660571,0.000660571
26,1498,0,0,0,0,0,0,0,0,0,0,0.000646429,0.000646429,0.000646429
27,1553.88,0,0,0,0,0,0,0,0,0,0,0.000632286,0.000632286,0.000632286
28,1607.27,0,0,0,0,0,0,0,0,0,0,0.000618143,0.000618143,0.000618143
29,1658.53,0,0,0,0,0,0,0,0,0,0,0.000604,0.000604,0.000604
30,1710.29,0,0,0,0,0,0,0,0,0,0,0.000589857,0.000589857,0.000589857
31,1763.45,0,0,0,0,0,0,0,0,2e-05,0,0.000575714,0.000575714,0.000575714
32,1826.25,0,0,0,0,0,0,0,0,0,0,0.000561571,0.000561571,0.000561571
33,1888.78,0,0,0,0,0,0,0,0,0,0,0.000547429,0.000547429,0.000547429
34,1944.98,0,0,0,0,0,0,0,0,0,0,0.000533286,0.000533286,0.000533286
35,2009.28,0,0,0,0,0,0,0,0,0,0,0.000519143,0.000519143,0.000519143
36,2073.38,0,0,0,0,0,0,0,0,0,0,0.000505,0.000505,0.000505
37,2134.21,0,0,0,0,0,0,0,0,0,0,0.000490857,0.000490857,0.000490857
38,2191.19,0,0,0,0,0,0,0,0,0,0,0.000476714,0.000476714,0.000476714
39,2249.23,0,0,0,0,0,0,0,0,0,0,0.000462571,0.000462571,0.000462571
40,2309.57,0,0,0,0,0,0,0,0,0,0,0.000448429,0.000448429,0.000448429
41,2362.04,0,0,0,0,0,0,0,0,0,0,0.000434286,0.000434286,0.000434286
42,2411.81,0,0,0,0,0,0,0,0,0,0,0.000420143,0.000420143,0.000420143
43,2463.72,0,0,0,0,0,0,0,0,0,0,0.000406,0.000406,0.000406
44,2519.16,0,0,0,0,0,0,0,0,0,0,0.000391857,0.000391857,0.000391857
45,2577.74,0,0,0,0,0,0,0,0,0,0,0.000377714,0.000377714,0.000377714
46,2630.84,0,0,0,0,0,0,0,0,0,0,0.000363571,0.000363571,0.000363571
47,2682.15,0,0,0,0,0,0,0,0,0,0,0.000349429,0.000349429,0.000349429
48,2731.37,0,0,0,0,0,0,0,0,0,0,0.000335286,0.000335286,0.000335286
49,2787.71,0,0,0,0,0,0,0,0,0,0,0.000321143,0.000321143,0.000321143
50,2837.24,0,0,0,0,0,0,0,0,0,0,0.000307,0.000307,0.000307
51,2887.03,0,0,0,0,0,0,0,0,0,0,0.000292857,0.000292857,0.000292857
52,2936.71,0,0,0,0,0,0,0,0,0,0,0.000278714,0.000278714,0.000278714
53,2986.79,0,0,0,0,0,0,0,0,0,0,0.000264571,0.000264571,0.000264571
54,3035.92,0,0,0,0,0,0,0,0,0,0,0.000250429,0.000250429,0.000250429
55,3085.03,0,0,0,0,0,0,0,0,0,0,0.000236286,0.000236286,0.000236286
56,3134.34,0,0,0,0,0,0,0,0,0,0,0.000222143,0.000222143,0.000222143
57,3183.32,0,0,0,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
58,3232.69,0,0,0,0,0,0,0,0,0,0,0.000193857,0.000193857,0.000193857
59,3281.94,0,0,0,0,0,0,0,0,0,0,0.000179714,0.000179714,0.000179714
