epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7855,0,15.0313,0,0,0,0,0,0,52.271,0,0.00032963,0.00032963,0.00032963
2,122.146,0,11.1705,0,0,0,0,0,0,23.0122,0,0.000641085,0.000641085,0.000641085
3,182.586,0,8.00109,0,0,0,0,0,0,14.8777,0,0.000930541,0.000930541,0.000930541
4,242.028,0,5.04359,0,0,0,0,0,0,9.26161,0,0.000901,0.000901,0.000901
5,301.11,0,2.9559,0,0,0,0,0,0,5.27085,0,0.000868,0.000868,0.000868
6,360.024,0,1.62822,0,0,0,0,0,0,2.88176,0,0.000835,0.000835,0.000835
7,419.811,0,0.86872,0,0,0,0,0,0,1.51157,0,0.000802,0.000802,0.000802
8,478.757,0,0.44783,0,0,0,0,0,0,0.79917,0,0.000769,0.000769,0.000769
9,532.34,0,0.23003,0,0,0,0,0,0,0.38868,0,0.000736,0.000736,0.000736
10,585.974,0,0.11433,0,0,0,0,0,0,0.22471,0,0.000703,0.000703,0.000703
11,639.8,0,0.07515,0,0,0,0,0,0,0.17283,0,0.00067,0.00067,0.00067
12,693.751,0,0.0445,0,0,0,0,0,0,0.07336,0,0.000637,0.000637,0.000637
13,746.762,0,0.02109,0,0,0,0,0,0,0.05543,0,0.000604,0.000604,0.000604
14,800.429,0,0.01723,0,0,0,0,0,0,0.06631,0,0.000571,0.000571,0.000571
15,853.504,0,0.01594,0,0,0,0,0,0,0.04724,0,0.000538,0.000538,0.000538
16,905.824,0,0.01497,0,0,0,0,0,0,0.04451,0,0.000505,0.000505,0.000505
17,958.764,0,0.01396,0,0,0,0,0,0,0.04198,0,0.000472,0.000472,0.000472
18,1016.65,0,0.01273,0,0,0,0,0,0,0.03744,0,0.000439,0.000439,0.000439
19,1076.09,0,0.0118,0,0,0,0,0,0,0.03568,0,0.000406,0.000406,0.000406
20,1136.09,0,0.0107,0,0,0,0,0,0,0.03156,0,0.000373,0.000373,0.000373
21,1195.24,0,0.00793,0,0,0,0,0,0,0.01966,0,0.00034,0.00034,0.00034
22,1254.67,0,0.00492,0,0,0,0,0,0,0.01585,0,0.000307,0.000307,0.000307
23,1313.24,0,0.00351,0,0,0,0,0,0,0.01431,0,0.000274,0.000274,0.000274
24,1369.24,0,0.00298,0,0,0,0,0,0,0.01338,0,0.000241,0.000241,0.000241
25,1425.7,0,0.00269,0,0,0,0,0,0,0.01287,0,0.000208,0.000208,0.000208
26,1483.41,0,0.00259,0,0,0,0,0,0,0.0127,0,0.000175,0.000175,0.000175
27,1541.33,0,0.00254,0,0,0,0,0,0,0.01228,0,0.000142,0.000142,0.000142
28,1599.75,0,0.00248,0,0,0,0,0,0,0.01225,0,0.000109,0.000109,0.000109
29,1659.17,0,0.00243,0,0,0,0,0,0,0.01206,0,7.6e-05,7.6e-05,7.6e-05
30,1718.98,0,0.0024,0,0,0,0,0,0,0.01169,0,4.3e-05,4.3e-05,4.3e-05
